filename	author	author_birth_year	author_death_year	realname	title	source_title	colophon	first_book_publication	edition_year	firstprint_description	year
kokorev.savvushka.txt	Кокорев, Иван Тимофеевич	1825	1853		Саввушка	Москва сороковых годов. Очерки и повести о Москве XIX в. [Подготовка текста, послесл. и примеч. Б.В. Смиренского]	М.: Моск. рабочий, 1959	1852	1959	Москвитянин. 1852. № 15—16, 	1852
kokorev.sibirka.txt	Кокорев, Иван Тимофеевич	1825	1853		Сибирка	Москва сороковых годов. Очерки и повести о Москве XIX в. [Подготовка текста, послесл. и примеч. Б.В. Смиренского]	М.: Моск. рабочий, 1959	1847	1959	Москвитянин. 1847. Ч. I, Москва Унив. тип. 1858	1847
kolbasin.akademicheskiy_pereulok.txt	Колбасин, Елисей Яковлевич	1832	1885		Академический переулок	Библиотека для чтения. 1858. Т. 150		1858	1858	Библиотека для чтения. 1858. Т. 150, 	1858
konshin.graf_oboyanskiy_ili_smolensk_v_1812_godu.txt	Колбасин, Елисей Яковлевич	1832	1885		Граф Обоянский или Смоленск в 1812 году	Граф Обоянский или Смоленск в 1812 году	М.: Современник, 1990	1834	1990	Граф Обоянский, или Смоленск в 1812 году. Рассказ инвалида. Соч. Н. Коншина. Ч. 1-3, Санкт-Петербург А.Ф. Фариков 1834	1834
kornilovich.andrey_bezymennyy.txt	Корнилович, Александр Осипович	1800	1834		Андрей Безыменный	Предслава и Добрыня. Ист. повести рус. романтиков. [Сост., авт. вступ. ст., с. 3-28, и коммент. В. Ю. Троицкий. Худож. Т. Константинова, О. Васильев]	М.: Современник, 1986	1832	1986	Андрей Безыменный. Старин. повесть, Санкт-Петербург тип. 3 Отд-ния Собств. е. и. в. канцелярии 1832	1832
korolenko.bez_yazyka.txt	Короленко, Владимир Галактионович	1853	1921		Без языка	Повести и рассказы. [Подгот. текста и послесл. А. Котова	[М.:] Моск. рабочий, 1953	1902	1953	"Без языка. (Рассказ). Владимир Короленко, Санкт-Петербург ред. журн. ""Рус. богатство"" 1902"	1902
korolenko.marusina_zaimka.txt	Короленко, Владимир Галактионович	1853	1921		Марусина заимка	Избранные произведения. [Вступ. статья Б. Аверина, с. 3-20]	Л.: Лениздат, 1978	1888-1905	1978	"Очерки и рассказы, Москва ред. журн. ""Русская мысль"" 1888-1905"	1905
korolenko.slepoy_muzykant.txt	Короленко, Владимир Галактионович	1853	1921		Слепой музыкант	Слепой музыкант. Повесть. [Для сред. и ст. шк. возраста]. В.Г. Короленко. [Худож. В.А. Губарев]	Минск: Юнацтва, 1981	1888	1981	"Слепой музыкант. (Этюд). Владимир Короленко, Москва ред. журн. ""Рус. мысль"" 1888"	1888
korolenko.sudnyy_den_iom_kipur.txt	Короленко, Владимир Галактионович	1853	1921		Судный день (Иом-кипур)	Собрание сочинений. В.Г. Короленко, Повести и рассказы	М.: Гослитиздат, 1954	1888-1903	1954	"Очерки и рассказы, Москва ред. журн. ""Русская мысль"" 1888-1903"	1903
korolenko.v_durnom_obshchestve.txt	Короленко, Владимир Галактионович	1853	1921		В дурном обществе	Собрание сочинений. В.Г. Короленко, Повести и рассказы	М.: Гослитиздат, 1954	1894	1954	В дурном обществе. [Из дет. воспоминаний моего приятеля]. В. Короленко, Москва Посредник 1894	1894
